In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
Is it too much of a wonder  for the people that we  inspired a man like them? He (was inspired to say),  "You shall warn the people,  and give good news to those who believe that they have attained a position of prominence at their Lord." The disbelievers said, "This is a clever magician!" |[Sura 10:2]
Your only Lord is GOD; the One who created the heavens and the earth in six days, then assumed all authority. He controls all matters. There is no intercessor, except in accordance with His will. Such is GOD your Lord. You shall worship Him. Would you not take heed? |[Sura 10:3]
To Him is your ultimate return, all of you. This is GOD's truthful promise. He initiates the creation, then repeats it, in order to reward those who believe and lead a right- eous life, equitably. As for those who disbelieve, they incur hellish drinks, and a painful retribution for their disbelieving. |[Sura 10:4]
He is the One who rendered the sun radiant, and the moon a light, and He designed its phases that you may learn to count the years and to calculate. GOD did not create all this, except for a specific purpose. He explains the revelations for people who know. |[Sura 10:5]
Surely, in the alternation of night and day,  and what GOD created in the heavens and the earth, there are  proofs for people who are righteous. |[Sura 10:6]
Those who are not expecting to meet us, and are preoccupied with this worldly life, and are content with it, and refuse to heed our proofs; |[Sura 10:7]
these have incurred Hell as their ultimate abode, as a consequence of their own works. |[Sura 10:8]
As for those who believe and lead a righteous life, their Lord guides them, by virtue of their belief. Rivers will flow beneath them in the gardens of bliss. |[Sura 10:9]
Their prayer therein is: "Be You glorified, our god," their greeting therein is, "Peace," and their ultimate prayer is: "Praise be to GOD, Lord of the universe." |[Sura 10:10]
If GOD hastened the retribution incurred by the people, the way they demand provisions, they would have been annihilated long ago. However, we leave those who do not believe in meeting us in their transgressions, blundering. |[Sura 10:11]
When adversity touches the human being, he implores us while lying down, or sitting, or standing up. But as soon as we relieve his adver- sity, he goes on as if he never im- plored us to relieve any hardship! The works of the transgressors are  thus adorned in their eyes. |[Sura 10:12]
Many a generation we have annihilated  before you when they transgressed. Their messengers went to them with clear proofs,  but they refused to believe. We thus requite the guilty people. |[Sura 10:13]
Then we made you inheritors of the earth after them,  to see how you will do.|[Sura 10:14]
When our revelations are recited to them,  those who do not expect to meet us say, "Bring a Quran other than this, or change it!"  Say, "I cannot possibly change it on my own.  I simply follow what is revealed to me. I fear, if I disobey my Lord,  the retribution of an awesome day." |[Sura 10:15]
Say, "Had GOD willed, I would not have recited  it to you, nor would you have known anything about it.  I have lived among you  a whole life before this  (and you have known me as a sane, truthful person).  Do you not understand?" |[Sura 10:16]
Who is more evil than one who fabricates lies about GOD, or rejects His revelations. Certainly, the transgressors never succeed. |[Sura 10:17]
They worship beside GOD idols that possess no power to harm them or benefit them, and they say, "These are our intercessors at GOD!" Say, "Are you informing GOD of something He does not know in the heavens or the earth?" Be He glorified. He is the Most High; far above needing partners. |[Sura 10:18]
The people used to be one con- gregation, then they disputed. If it were not for a predetermined word from your Lord, they would have been judged immediately regarding their disputes. |[Sura 10:19]
They say, "How come no miracle came down to him from his Lord?" Say, "The future belongs to GOD; so wait, and I am waiting along with you." |[Sura 10:20]
When we bestow mercy upon the people, after adversity had afflicted  them, they immediately scheme against our revelations! Say, "GOD's scheming is far more effective. For our messengers are recording everything you scheme." |[Sura 10:21]
He is the One who moves you across the land and sea. You get onto the ships, and they sail smoothly in a nice breeze. Then, while rejoicing therein, violent wind blows, and the waves surround them from every side. This is when they implore GOD, sincerely devoting their prayers to Him alone: "If You only save us this time, we will be eternally appreciative." |[Sura 10:22]
But as soon as He saves them, they transgress on earth, and oppose the truth. O people, your transgression is only to the detriment of your own souls. You remain preoccupied with this worldly life, then to us is your ultimate return, then we inform you of everything you had done. |[Sura 10:23]
The analogy of this worldly life is like this: we send down water from the sky to produce with it all kinds of plants from the earth, and to provide food for the people and the animals. Then, just as the earth is perfectly adorned, and its people think that they are in control thereof, our judgment comes by night or by day, leaving it completely barren, as if nothing existed the previous day. We thus explain the revelations for people who reflect. |[Sura 10:24]
GOD invites to the abode of peace, and guides whoever wills (to be guided) in a straight path. |[Sura 10:25]
For the righteous, the reward will be multiplied manifold. Their faces will never experience any deprivation or shame. These are the dwellers of Paradise; they abide therein forever. |[Sura 10:26]
As for those who earned sins, their requital is equivalent to  their sin. Humiliation is their lot, and no one beside GOD can protect  them. Their faces will seem overwhelmed by masses of dark night. They will be the dwellers of Hell; they abide therein forever. |[Sura 10:27]
